date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,bowler_one,bowler_one_wicket,bowler_two,bowler_two_wicket,batter_one,batter_one_score,batter_two,batter_two_score
1987-10-18,Indore,League-Match,AUS,NZ,,,,,David Boon,1987,India,played,Australia,NA,0,NA,0,NA,0,NA,0
NA,Karachi,League-Match,WI,SL,,,,,Viv Richards,1987,Pakistan,played,West Indies,NA,0,NA,0,NA,0,NA,0
1987-10-26,Jaipur,League-Match,ENG,WI,,,,,Graham Gooch,1987,India,played,England,NA,0,NA,0,NA,0,NA,0
1987-10-09,Chennai,League-Match,AUS,IND,,,,,Geoff Marsh,1987,India,played,Australia,NA,0,NA,0,NA,0,NA,0
1987-10-16,Lahore,League-Match,WI,PAK,,,,,Saleem Yousuf,1987,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1987-10-22,Delhi,League-Match,IND,AUS,,,,,Mohammad Azharuddin,1987,India,played,India,NA,0,NA,0,NA,0,NA,0
1987-10-12,Rawalpindi,League-Match,PAK,ENG,,,,,Abdul Qadir,1987,Pakistan,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1987-11-08,Eden Gardens,Final,AUS,ENG,,,,,David Boon,1987,India,played,Australia,NA,0,NA,0,NA,0,NA,0
1987-10-17,Wankhede,League-Match,ZIM,IND,,,,,Manoj Prabhakar,1987,India,played,India,NA,0,NA,0,NA,0,NA,0
1992-03-08,Auckland,League-Match,WI,NZ,,,,,Martin Crowe,1992,New Zealand,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Brisbane,League-Match,SA,PAK,,,,,Andrew Hudson,1992,Australia,played,South Africa,NA,0,NA,0,NA,0,NA,0
1992-03-04,Sydney,League-Match,IND,PAK,,,,,Sachin Tendulkar,1992,Australia,played,India,NA,0,NA,0,NA,0,NA,0
1992-02-26,Sydney,League-Match,AUS,SA,,,,,Kepler Wessels,1992,Australia,played,South Africa,NA,0,NA,0,NA,0,NA,0
1992-03-10,Wellington,League-Match,IND,WI,,,,,Anderson Cummins,1992,New Zealand,played,West Indies,NA,0,NA,0,NA,0,NA,0
1992-03-01,Brisbane,League-Match,AUS,IND,,,,,Dean Jones,1992,Australia,played,Australia,NA,0,NA,0,NA,0,NA,0
1992-02-28,Mackay,League-Match,IND,SL,,,NA,NA,NA,1992,New Zealand,abandoned,NA,NA,0,NA,0,NA,0,NA,0
NA,Perth,League-Match,ENG,IND,,,,,Ian Botham,1992,Australia,played,England,NA,0,NA,0,NA,0,NA,0
NA,Perth,League-Match,SL,PAK,,,,,Javed Miandad,1992,Australia,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1992-03-05,Christchurch,League-Match,SA,WI,,,,,Meyrick Pringle,1992,New Zealand,played,South Africa,NA,0,NA,0,NA,0,NA,0
1992-03-03,Napier,League-Match,NZ,ZIM,,,,,Martin Crowe,1992,New Zealand,played,New Zealand,NA,0,NA,0,NA,0,NA,0
1992-03-12,Dunedin,League-Match,IND,NZ,,,,,Mark Greatbatch,1992,New Zealand,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Albury,League-Match,ZIM,ENG,,,,,Eddo Brandes,1992,New Zealand,played,Zimbabwe,NA,0,NA,0,NA,0,NA,0
NA,Adelaide,League-Match,IND,SA,,,,,Peter Kirsten,1992,Australia,played,South Africa,NA,0,NA,0,NA,0,NA,0
1992-03-09,Ballarat,League-Match,ENG,SL,,,,,Chris Lewis,1992,New Zealand,played,England,NA,0,NA,0,NA,0,NA,0
1992-03-25,Melbourne,Final,PAK,ENG,,,,,Wasim Akram,1992,Australia,played,Pakistan,NA,0,NA,0,NA,0,NA,0
1992-03-14,Hobart,League-Match,AUS,ZIM,,,,,Steve Waugh,1992,Australia,played,Australia,NA,0,NA,0,NA,0,NA,0
1992-02-22,Auckland,League-Match,NZ,AUS,,,,,Martin Crowe,1992,New Zealand,played,New Zealand,NA,0,NA,0,NA,0,NA,0
NA,Canberra,League-Match,ZIM,SA,,,,,Peter Kirsten,1992,Australia,played,South Africa,NA,0,NA,0,NA,0,NA,0
NA,Adelaide,League-Match,SL,AUS,,,,,Tom Moody,1992,Australia,played,Australia,NA,0,NA,0,NA,0,NA,0
1992-03-11,Perth,League-Match,PAK,AUS,,,,,Aamer Sohail,1992,Australia,played,Pakistan,NA,0,NA,0,NA,0,NA,0
NA,Melbourne,League-Match,SA,ENG,,,,,Alec Stewart,1992,Australia,played,England,NA,0,NA,0,NA,0,NA,0
NA,Adelaide,League-Match,PAK,ENG,,,,,NA,1992,Australia,abandoned,NA,NA,0,NA,0,NA,0,NA,0
1992-03-22,Sydney,Semi-Final,ENG,SA,,,,,Graeme Hick,1992,Australia,played,England,NA,0,NA,0,NA,0,NA,0
NA,Brisbane,League-Match,WI,ZIM,,,,,Brian Lara,1992,Australia,played,West Indies,NA,0,NA,0,NA,0,NA,0
1992-02-27,Hobart,League-Match,PAK,ZIM,,,,,Aamer Sohail,1992,Australia,played,Pakistan,NA,0,NA,0,NA,0,NA,0
